280154	krotit	krotit_:T	V
280341	kroužkovatel	kroužkovatel	N	280345
280345	kroužkovat	kroužkovat_:T	V
282591	křisitel	křisitel	N
282592	křísitel	křísitel	N	282600
282600	křísit	křísit_:T	V
282947	křížitel	křížitel	N	282951
282951	křížit	křížit_:T	V
283029	křižovatel	křižovatel	N	283037
283037	křižovat	křižovat_:T	V
283200	křtitel	křtitel	N	283209
283209	křtít	křtít_:T	V
283206	Křtitel	Křtitel_;S	N
283328	kšandonositel	kšandonositel_,h	N
285489	kultivovatel	kultivovatel	N	285493
285493	kultivovat	kultivovat_:T	V
286422	kupitel	kupitel	N	286520
286520	kupovat	kupovat_:T	V	274157
274157	koupit	koupit_:W_^(něco_sobě/někomu)	V
287733	Küttel	Küttel_;S	N
288702	kvazizaměstnavatel	kvazizaměstnavatel	NC
289557	kydatel	kydatel	N	289561
289561	kydat	kydat_:T	V
290365	kývatel	kývatel	N	290369
290369	kývat	kývat_:T	V
291296	lahvovatel	lahvovatel	N	291300
291300	lahvovat	lahvovat_:T	V
292065	lamatel	lamatel	N
294973	léčitel	léčitel	N	294981
294981	léčit	léčit_:T	V
297184	lepitel	lepitel	N	297189
297189	lepit	lepit_:T	V
298959	líbatel	líbatel	N	298963
298963	líbat	líbat_:T	V
299643	líčitel	líčitel	N	299647
299647	líčit	líčit_:T	V
303569	Loettel	Loettel_;S	N
304345	lomitel	lomitel	N	304350
304350	lomit	lomit_:T	V
304961	losovatel	losovatel	N	304965
304965	losovat	losovat_:T	V
307854	luštitel	luštitel	N	307861
307861	luštit	luštit_:T	V
308860	lžimajitel	lžimajitel	NC
311236	majitel	majitel	N	332701
332701	mít	mít_:T	V
311958	makroukazatel	makroukazatel	NC
312820	malodběratel	malodběratel	NC
312824	malododavatel	malododavatel	NC
313000	maloodběratel	maloodběratel	N	313005
313005	maloodběr	maloodběr	NC
313019	malopěstitel	malopěstitel	NC
313037	malopodnikatel	malopodnikatel	NC
313121	malospotřebitel	malospotřebitel	NC
313546	mámitel	mámitel	N	313550
313550	mámit	mámit_:T	V
314178	manévrovatel	manévrovatel	N	314182
314182	manévrovat	manévrovat_:T	V
314764	Mantel	Mantel_;G	N
314988	mapovatel	mapovatel	N	314992
314992	mapovat	mapovat_:T	V
316661	martel	martel_,h	N
316667	Martel	Martel_;S	N
317189	mařitel	mařitel	N	317193
317193	mařit	mařit_:T	V
319109	Mattel	Mattel_;S	N
321129	Mediatel	Mediatel_;K	N
323521	měnitel	měnitel	N	323528
